ticker;name
BX4;LYXOR ETF BX4
C4S;AMUNDI ETF SH CAC
SHC;LYXOR ETF SHT CAC
C5S;AMUNDI ETF SHT E50
DSP5;LYXOR 2XSHRT SP500
C2U;AMUNDI ETF SHT USA
OBLI;LYXOR PEA OBLI
PANX;AMUNDI PEA NASDAQ
PUST;LYXOR NSDQ 100 PEA
HLT;LYXOR STX EU HLTHC
GMRC;OSSIAM ETF GMARC C
PASI;LYXOR HSCEI PEA
ESE;BNPP SP500 EUR C
PSP5;LYXOR SP500 PEA
PUSA;LYXOR MSCI USA PEA
CU2;AMUNDI ETF MSCI US
PE500;AMUNDI PEA SP500
ISTM;BNPP MUTB JAPAN
UTI;LYXOR STX EU UTILI
STK;SPDR MSCI TECHNO
STU;SPDR MSCI UTIL
TNO;LYXOR STX EU TECH
CC1;AMUNDI ETF MS CHN
PTPXE;AMUNDI PEA TOPIX
PAASI;AMUNDI PEA EM ASIA
PJPN;LYXOR TOPIX PEA
ESDD;BNPP SP500 USD CD
ESD;BNPP SP500 USD C
ESEH;BNPP SP500 EURH C
P500H;AMUNDI PEA SP500 H
PHG;LYXOR STX600 GOODS
PSPH;LYXOR PEA SP5H EUR
CW8;AMUNDI ETF MSCI WR
EWLD;LYXOR MSCI WOR PEA
MVAU;LYXOR USA MIN VAR
PDJE;LYXOR DJIA PEA
AWAT;LYXOR W WATER PEA
EUMV;OSSIAM ISTOXX EUMV
CHM;LYXOR STX600 CHEMI
PAEJ;LYXOR ASIP EXJ PEA
CH1;AMUNDI ETF MSCI NL
RTA;LYXOR STX600 RTAIL
FOO;LYXOR STX EU FO BE
SRIEC;BNP MSCI EU SRI EC
PTPXH;AMUNDI PEA TOPIX H
PJPH;LYXOR TOPIX DH PEA
SRIE;BNP MSCI EU SRI ED
PKRW;LYXOR KOREA PEA
EVOE;BNPP Low Vol EU
VLED;BNPP EASY LWVOLEU
GWT;LYXOR EMU GROWTH
LQQ;LYXOR ETF NSDQ DL
QUED;BNPP EASYQUALITYD
TEL;LYXOR STX EU TELE
EQUA;BNPP Quality EU
CAPE;OSSIAM ETF CAPE EU
PAEEM;AMUNDI PEA MSCI EM
ECN;BNPP EASY LOWCARB
EMOM;BNPP Momentum EU
PLEM;LYXOR MSCI EM PEA
MOED;BNPP MOMENTUMD
EEXU;BNPP EU xUK ETF
ESM;AMUNDI ETF E SM CP
FIN;LYXOR STX 600 FIN
MUSRI;BNPP EMU SRI ETF
MVMU;LYXOR EMU MIN VAR
ELOW;SPDR EURO LV
STP;SPDR MSCI MAT
CG1;AMUNDI ETF DAX DR
ETZD;BNPP Stoxx 600CD
ETZ;BNPP Stoxx 600C
EEUE;BNPP EU ETF
DAX;LYXOR ETF DAX
PMEU;LYXOR PEA MSCI EUR
ERO;SPDR MSCI EUROPE
PCEU;AMUNDI PEA EUROPE
HEU;HSBC MSCI EUR ETF
STT;SPDR MSCI COMM
MFDD;Ly Core Stoxx300D
EMUE;SPDR MSCI EMU
MFED;Lyx Core Stoxx300
EEMU;BNPP EMU ETF
CMU;AMUNDI ETF MS EMU
MFE;Lyxor Core EMU
PMEH;LYXOR FEN DVEU PEA
S6EW;OSSIAM EURP EQUI W
CST;LYXOR STX600 CONMA
CD5;AMUNDI ETF ES50 D
MSED;Lyxor Core Stoxx50
C50;AMUNDI ETF ES50 C
VEUR;VANGUARD FTSE EUR
ETDD;BNPP EUROSTOXX50 C
MSE;LYXOR ETF ESTOXX50
50E;HSBC EUROSTX50 ETF
EISR;BNP MSCI EM SRI ED
CD8;AMUNDI ETF EMU HDV
C5HU;AMUNDI ES50 HUSD
EMIS;BNP MSCI EM SRI EC
MDA;LYXOR STX600 MEDIA
ETUR;LYXOR TURKEY PEA
MMS;LYXOR SMALL CAP
CF1;AMUNDI ETF MS FRA
C40;AMUNDI ETF CAC 40
E40;BNPP CAC 40
EUDV;SPDR EUR DIV ARIST
EESM;BNPP Small C ETF
BRE;LYXOR STX EU BA RE
RS2K;AMUNDI RUSSEL 2K
CAC;LYXOR ETF CAC 40
CACC;LYXOR CAC40 ACC
C50U;AMUNDI ES50 USD
EMSR;BNP MSCI EM SRI UC
PINR;LYXOR INDIA PEA
MIB;LYXOR ETF FTSE MIB
FMI;AMUNDI ETF MIB
STQ;SPDR MSCI INDUST
CSX5;iSHR ESTX50 B A
PEF;IVZ FTSE RAFI EURO
CACM;LYXOR ETF CAC MID
IND;LYXOR STX 600 INDU
CS1;AMUNDI ETF MS SPA
CI1;AMUNDI ETF MS ITA
UKX;HSBC FTSE 100 ETF
CEMU;iSHR MSCI EMUSC
PRUS;LYXOR RUSSIA PEA
VAL;LYXOR EMU VALUE
SEL;LYXOR STXX EU SDIV
INS;LYXOR STX 600 INSU
VALD;BNPP EASYVALUED
EVAE;BNPP Value EU
CL2;AMUNDI ETF LEV USA
HMCX;HSBC FTSE 250
EUHD;IVZ EUR STOXX HDLV
PEAP;LYXOR ETF PEAPME
RS2U;AMUNDI RUSSEL 2000
OIL;LYXOR ST EU OILGAS
EDEU;BNPP EASY EQDEUETF
STZ;SPDR MSCI FINANC
STN;SPDR MSCI ENERGY
AUT;LYXOR STX 600 AUTO
PAFS;LYXOR SOUTH AF PEA
GRE;LYXOR MSCI GREECE
TRV;LYXOR STX600 TRAVL
BNK;LYXOR STX EU BANKS
PALAT;AMUNDI PEA EM ALAT
LVD;LYXOR ETF LEVDAX
BNKE;MULTI LY EU STXX B
PRIO;LYXOR IBOVESPA PEA
LVE;LYXOR ETF SX50 DL
C5L;AMUNDI ETF LEV E50
CL4;AMUNDI ETF LEV CAC
LVC;LYXOR ETF LEV CAC
